"Workout #";"Date";"Workout Name";"Duration (sec)";"Exercise Name";"Set Order";"Weight (kg)";"Reps";"RPE";"Distance (meters)";"Seconds";"Notes";"Workout Notes"
"4";"2025-03-13 19:03:46";"Pull";"3752";"Lat Pulldown (Machine)";"1";"61.688512";"8";"";"";"";"";""
"4";"2025-03-13 19:03:46";"Pull";"3752";"Lat Pulldown (Machine)";"2";"61.688512";"8";"";"";"";"";""
"4";"2025-03-13 19:03:46";"Pull";"3752";"Lat Pulldown (Machine)";"3";"61.688512";"8";"";"";"";"";""
"4";"2025-03-13 19:03:46";"Pull";"3752";"Chin Up";"1";"0.0";"5";"";"";"";"";""
"4";"2025-03-13 19:03:46";"Pull";"3752";"Chin Up";"2";"0.0";"5";"";"";"";"";""
"4";"2025-03-13 19:03:46";"Pull";"3752";"Chin Up";"3";"0.0";"3";"";"";"";"";""
"4";"2025-03-13 19:03:46";"Pull";"3752";"Iso-Lateral Row (Machine)";"1";"27.215519999999998";"8";"";"";"";"";""
"4";"2025-03-13 19:03:46";"Pull";"3752";"Iso-Lateral Row (Machine)";"2";"27.215519999999998";"8";"";"";"";"";""
"4";"2025-03-13 19:03:46";"Pull";"3752";"Iso-Lateral Row (Machine)";"3";"27.215519999999998";"7";"";"";"";"";""
"5";"2025-03-17 19:15:59";"Push";"2906";"Incline Bench Press (Barbell)";"1";"43.09124";"9";"";"";"";"";""
"5";"2025-03-17 19:15:59";"Push";"2906";"Incline Bench Press (Barbell)";"2";"43.09124";"9";"";"";"";"";""
"5";"2025-03-17 19:15:59";"Push";"2906";"Incline Bench Press (Barbell)";"3";"43.09124";"8";"";"";"";"";""
"5";"2025-03-17 19:15:59";"Push";"2906";"Incline Bench Press (Barbell)";"4";"43.09124";"8";"";"";"";"";""
"5";"2025-03-17 19:15:59";"Push";"2906";"Triceps Pushdown (Cable - Straight Bar)";"1";"68.0388";"5";"";"";"";"";""
"5";"2025-03-17 19:15:59";"Push";"2906";"Triceps Pushdown (Cable - Straight Bar)";"2";"63.50288";"8";"";"";"";"";""
"5";"2025-03-17 19:15:59";"Push";"2906";"Triceps Pushdown (Cable - Straight Bar)";"3";"63.50288";"8";"";"";"";"";""
"5";"2025-03-17 19:15:59";"Push";"2906";"Triceps Pushdown (Cable - Straight Bar)";"4";"63.50288";"5";"";"";"";"";""
"5";"2025-03-17 19:15:59";"Push";"2906";"Chin Up";"1";"0.0";"5";"";"";"";"";""
"5";"2025-03-17 19:15:59";"Push";"2906";"Chin Up";"2";"0.0";"5";"";"";"";"";""
"5";"2025-03-17 19:15:59";"Push";"2906";"Chin Up";"3";"0.0";"4";"";"";"";"";""
"5";"2025-03-17 19:15:59";"Push";"2906";"Shrug (Smith Machine)";"1";"70.30676";"10";"";"";"";"";""
"5";"2025-03-17 19:15:59";"Push";"2906";"Shrug (Smith Machine)";"2";"70.30676";"10";"";"";"";"";""
"5";"2025-03-17 19:15:59";"Push";"2906";"Shrug (Smith Machine)";"3";"70.30676";"10";"";"";"";"";""
"6";"2025-03-18 19:25:18";"Pull";"2353";"Bicep Curl (Barbell)";"1";"27.215519999999998";"8";"";"";"";"";""
"6";"2025-03-18 19:25:18";"Pull";"2353";"Bicep Curl (Barbell)";"2";"27.215519999999998";"8";"";"";"";"";""
"6";"2025-03-18 19:25:18";"Pull";"2353";"Bicep Curl (Barbell)";"3";"27.215519999999998";"8";"";"";"";"";""
"6";"2025-03-18 19:25:18";"Pull";"2353";"Bicep Curl (Barbell)";"4";"27.215519999999998";"8";"";"";"";"";""
"6";"2025-03-18 19:25:18";"Pull";"2353";"Chin Up";"1";"0.0";"5";"";"";"";"";""
"6";"2025-03-18 19:25:18";"Pull";"2353";"Chin Up";"2";"0.0";"5";"";"";"";"";""
"6";"2025-03-18 19:25:18";"Pull";"2353";"Chin Up";"3";"0.0";"4";"";"";"";"";""
"6";"2025-03-18 19:25:18";"Pull";"2353";"Lat Pulldown (Machine)";"1";"61.688512";"8";"";"";"";"";""
"6";"2025-03-18 19:25:18";"Pull";"2353";"Lat Pulldown (Machine)";"2";"61.688512";"8";"";"";"";"";""
"6";"2025-03-18 19:25:18";"Pull";"2353";"Lat Pulldown (Machine)";"3";"61.688512";"8";"";"";"";"";""
"6";"2025-03-18 19:25:18";"Pull";"2353";"Shrug (Smith Machine)";"1";"70.30676";"10";"";"";"";"";""
"6";"2025-03-18 19:25:18";"Pull";"2353";"Shrug (Smith Machine)";"2";"70.30676";"10";"";"";"";"";""
"6";"2025-03-18 19:25:18";"Pull";"2353";"Shrug (Smith Machine)";"3";"70.30676";"10";"";"";"";"";""
"7";"2025-03-19 19:07:46";"Push";"3897";"Bench Press (Barbell)";"1";"61.23492";"5";"";"";"";"";""
"7";"2025-03-19 19:07:46";"Push";"3897";"Bench Press (Barbell)";"2";"61.23492";"6";"";"";"";"";""
"7";"2025-03-19 19:07:46";"Push";"3897";"Bench Press (Barbell)";"3";"61.23492";"6";"";"";"";"";""
"7";"2025-03-19 19:07:46";"Push";"3897";"Bench Press (Barbell)";"4";"61.23492";"5";"";"";"";"";""
"7";"2025-03-19 19:07:46";"Push";"3897";"Shoulder Press (Plate Loaded)";"1";"20.41164";"10";"";"";"";"";""
"7";"2025-03-19 19:07:46";"Push";"3897";"Shoulder Press (Plate Loaded)";"2";"20.41164";"10";"";"";"";"";""
"7";"2025-03-19 19:07:46";"Push";"3897";"Shoulder Press (Plate Loaded)";"3";"20.41164";"10";"";"";"";"";""
"7";"2025-03-19 19:07:46";"Push";"3897";"Chin Up";"1";"0.0";"5";"";"";"";"";""
"7";"2025-03-19 19:07:46";"Push";"3897";"Chin Up";"2";"0.0";"5";"";"";"";"";""
"7";"2025-03-19 19:07:46";"Push";"3897";"Chin Up";"3";"0.0";"5";"";"";"";"";""
"7";"2025-03-19 19:07:46";"Push";"3897";"Dumbell Kickback";"1";"6.8038799999999995";"10";"";"";"";"";""
"7";"2025-03-19 19:07:46";"Push";"3897";"Dumbell Kickback";"2";"6.8038799999999995";"10";"";"";"";"";""
"7";"2025-03-19 19:07:46";"Push";"3897";"Dumbell Kickback";"3";"6.8038799999999995";"10";"";"";"";"";""
"8";"2025-03-20 18:12:47";"Pull";"3091";"Concentration Curl (Dumbbell)";"1";"11.3398";"8";"";"";"";"";""
"8";"2025-03-20 18:12:47";"Pull";"3091";"Concentration Curl (Dumbbell)";"2";"11.3398";"8";"";"";"";"";""
"8";"2025-03-20 18:12:47";"Pull";"3091";"Concentration Curl (Dumbbell)";"3";"11.3398";"8";"";"";"";"";""
"8";"2025-03-20 18:12:47";"Pull";"3091";"Ohio State";"1";"11.3398";"11";"";"";"";"";""
"8";"2025-03-20 18:12:47";"Pull";"3091";"Ohio State";"2";"11.3398";"10";"";"";"";"";""
"8";"2025-03-20 18:12:47";"Pull";"3091";"Ohio State";"3";"11.3398";"10";"";"";"";"";""
"8";"2025-03-20 18:12:47";"Pull";"3091";"Pull Up";"1";"0.0";"3";"";"";"";"";""
